"gx","gy","elev"
0,0,595.081
0,20,609.843
0,40,625.502
0,60,635.036
0,80,627.588
0,100,640.302
0,120,675.003
0,140,681.92
0,160,675.468
0,180,662.597
0,200,664.225
0,220,669.506
0,240,667.455
0,260,646.537
0,280,634.008
0,300,619.701
0,320,602.51
0,340,601.432
0,360,611.333
0,380,602.881
0,400,590.767
0,420,584.864
0,440,568.552
0,460,553.185
0,480,540.186
0,500,536.552
7.634,428,587.328
8,132.065,682.878
9.391,413.4,591.646
10,50.327,622.998
10,130,681.502
20,0,593.069
20,20,606.634
20,40,620.567
20,60,619.7
20,80,622.243
20,100,637.87
20,120,675.659
20,140,683.403
20,160,678.452
20,180,672.77
20,200,676.007
20,220,678.199
20,240,659.938
20,260,642.8
20,280,627.243
20,300,616.952
20,320,605.204
20,340,592.134
20,360,600.505
20,380,609.683
20,400,601.656
20,420,586.776
20,440,571.498
20,460,560.749
20,480,553.233
20,500,550.083
25.361,225,678.109
27.346,174.8,674.601
30,370,604.375
34.139,390,607.062
34.141,290,627.101
34.142,250,650.988
34.921,349.4,589.988
40,0,588.763
40,20,602.908
40,40,608.225
40,60,610.231
40,80,622.7
40,100,636.176
40,120,670.939
40,140,669.539
40,160,662.368
40,180,664.12
40,200,676.071
40,220,672.297
40,240,653.704
40,260,641.336
40,280,633.24
40,300,626.908
40,320,611.671
40,340,594.561
40,360,591.146
40,380,599.876
40,400,601.821
40,420,588.806
40,440,580.634
40,460,572.059
40,480,559.742
40,500,559.857
50,130,669.55
50,430,588.855
52,227.964,615.806
54.143,150,656.688
60,0,588.537
60,20,594.359
60,40,598.861
60,60,602.035
60,80,614.967
60,100,630.168
60,120,666.74
60,140,658.545
60,160,644.196
60,180,654.576
60,200,642.492
60,220,636.456
60,240,641.481
60,260,632.171
60,280,620.306
60,300,616.864
60,320,612.828
60,340,596.728
60,360,569.682
60,380,564.794
60,400,571.007
60,420,585.346
60,440,583.166
60,460,577.792
60,480,569.109
60,500,571.674
65.577,494,574.579
68,352.013,578.788
74,125.787,666.494
80,0,581.096
80,20,588.385
80,40,594.595
80,60,609.668
80,80,625.108
80,100,638.367
80,120,667.689
80,140,632.585
80,160,614.843
80,180,620.798
80,200,631.106
80,220,617.411
80,240,615.011
80,260,607.908
80,280,608.861
80,300,594.825
80,320,583.397
80,340,583.092
80,360,572.27
80,380,554.711
80,400,582.783
80,420,571.46
80,440,567.542
80,460,569.956
80,480,573.993
80,500,574.298
86,413.775,566.003
87,293.497,602.57
89,131.119,640.57
90,250.331,595.584
90,270,602.659
100,0,581.031
100,20,584.148
100,40,596.534
100,60,607.201
100,80,625.157
100,100,640.626
100,120,643.664
100,140,633.131
100,160,612.019
100,180,602.979
100,200,615.603
100,220,608.911
100,240,595.64
100,260,591.417
100,280,600.144
100,300,599.455
100,320,582.85
100,340,564.163
100,360,563.587
100,380,567.206
100,400,565.764
100,420,562.583
100,440,549.948
100,460,554.949
100,480,560.1
100,500,570.054
110,210,619.961
110,490,563.643
113,387.109,561.604
113.712,134,626.518
120,0,590.037
120,20,601.146
120,40,603.617
120,60,606.36
120,80,620.724
120,100,634.397
120,120,625.982
120,140,621.722
120,160,608.395
120,180,592.175
120,200,598.599
120,220,598.946
120,240,583.913
120,260,576.438
120,280,585.649
120,300,593.846
120,320,599.948
120,340,582.525
120,360,564.343
120,380,563.258
120,400,559.889
120,420,552.361
120,440,543.699
120,460,539.544
120,480,552.28
120,500,560.803
126.406,406,562.655
130,490,551.174
132.833,213,597.113
140,0,590.395
140,20,603.732
140,40,615.456
140,60,623.672
140,80,631.904
140,100,627.248
140,120,612.612
140,140,609.493
140,160,596.624
140,180,583.805
140,200,591.423
140,220,594.963
140,240,596.42
140,260,577.284
140,280,585.432
140,300,597.812
140,320,594.257
140,340,585.312
140,360,568.915
140,380,548.614
140,400,559.999
140,420,544.624
140,440,532.734
140,460,530.311
140,480,540.771
149.997,490,545.135
151.5,411.5,552.202
152.3,207.7,587.286
154,346.047,569.731
157,403.447,559.41
160,0,595.049
160,20,608.784
160,40,622.771
160,60,647.377
160,80,637.951
160,100,624.29
160,120,606.366
160,140,595.239
160,160,588.471
160,180,573.216
160,200,580.775
160,220,590.796
160,240,589.747
160,260,572.392
160,280,573.834
160,300,587.221
160,320,580.981
160,340,574.35
160,360,567.364
160,380,548.719
160,400,546.206
160,420,539.982
160,440,522.293
160,460,517.554
160,480,539.162
160,500,527.865
165,295.16,585.403
167,372.954,555.93
170,229.743,593.624
173.198,53,627.78
176,304.038,587.895
180,0,597.766
180,20,613.779
180,40,628.188
180,60,637.311
180,80,638.449
180,100,626.911
180,120,613.601
180,140,595.378
180,160,578.433
180,180,565.591
180,200,567.485
180,220,562.268
180,240,569.249
180,260,567.965
180,280,559.772
180,300,572.458
180,320,573.35
180,340,562.103
180,360,558.204
180,380,543.552
180,420,530.597
180,440,516.01
180,460,507.279
180,480,524.133
180,500,515.16
187,433.088,516.239
189,71.186,640.082
189,371.39,540.098
189.334,113.4,617.709
190,470.001,519.297
193,326.792,566.213
193.234,133,599.637
196,243.638,580.966
200,0,604.567
200,20,613.646
200,40,620.678
200,60,628.445
200,80,627.294
200,100,617.807
200,120,606.773
200,140,598.503
200,160,584.937
200,180,565.998
200,200,549.869
200,220,552.747
200,240,555.578
200,260,560.334
200,300,559.711
200,320,568.005
200,340,555.679
200,360,540.711
200,380,536.848
200,400,520.365
200,420,513.397
200,440,511.93
200,460,498.983
200,480,507.232
200,500,502.91
204.806,96.6,617.487
209,270.723,546.694
215,304.511,547.497
220,0,610.565
220,20,615.425
220,40,624.882
220,60,639.738
220,80,634.373
220,100,618.346
220,120,608.033
220,140,598.963
220,160,591.341
220,180,564.729
220,200,560.739
220,220,552.162
220,240,552.47
220,260,552.708
220,280,537.404
220,300,544.876
220,320,553.458
220,340,552.399
220,360,535.021
220,380,521.049
220,400,512.943
220,420,503.954
220,440,509.491
220,460,500.793
220,480,493.185
220,500,488.009
224.091,204,548.166
226.25,335.6,547.21
229.414,389,507.399
230,350,546.336
231,69.306,644.346
240,0,604.939
240,20,616.078
240,40,627.443
240,60,642.38
240,80,637.074
240,100,617.778
240,120,604.837
240,140,594.062
240,160,578.213
240,180,570.106
240,200,560.228
240,220,548.94
240,240,537.268
240,260,534.283
240,280,533.2
240,300,528.642
240,320,537.939
240,340,543.649
240,360,540.01
240,380,525.842
240,400,507.847
240,420,496.139
240,440,504.121
240,460,511.293
240,480,503.007
240,500,503.586
250,90,634.689
255.4,155.4,595.385
256.8,476.8,514.191
260,0,618.211
260,20,626.277
260,40,638.084
260,60,648.196
260,80,645.092
260,100,632.106
260,120,619.301
260,140,608.715
260,160,594.211
260,180,579.797
260,200,566.639
260,220,556.918
260,240,547.871
260,260,534.758
260,280,521.918
260,300,515.485
260,320,519.944
260,340,526.094
260,360,528.207
260,380,516.167
260,400,504.18
